BALACHKY PACKAGED BINARY TRACE MANIFEST
Paths are relative to the Balachky onedir root.
Binary count: 269
Version source: PE FileVersion; when absent, owning-package METADATA or companion-runtime PE provenance.
Hash command: Get-FileHash -Algorithm SHA256 -LiteralPath <file>

BINARY TRACE BEGIN
file	version	upstream	license	sha256
_internal/api-ms-win-core-namedpipe-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	c05f1fffe3b5a2738ea54ce9485cca026fb9635f982626fba1e1dcc531897273
_internal/api-ms-win-core-processenvironment-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	c4eca98c3c67b6395d5b005b00ac1eb0318b86b23aa71035a44c2b1602befba9
_internal/api-ms-win-core-processthreads-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	5ccb89e93d67bc3288d4e84649c5346e66e15e3d7cd65d989daf3f4cb584be9a
_internal/api-ms-win-core-processthreads-l1-1-1.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	4ad565a8ba3ef0ea8ab87221ad11f83ee0bc844ce236607958406663b407333e
_internal/api-ms-win-core-profile-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	7809160932f44e59b021699f5bc68799eb7293ee1fa926d6fcca3c3445302e61
_internal/api-ms-win-core-rtlsupport-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	9dc1e91e71c7c054854bd1487cb4e6946d82c9f463430f1c4e8d1471005172b1
_internal/api-ms-win-core-string-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	60fc31d2a0c634412f529dba76af3b9bf991352877c6dae528186d3935704cfd
_internal/api-ms-win-core-synch-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	3a72b4f29f39a265d32ad12f0ce15dbf60129c840e10d84d427829ede45e78ad
_internal/api-ms-win-core-synch-l1-2-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	efc1e4460984a73cf47a3def033af1c8f3b1dbc1a56cd27781d3aacf3e3330cb
_internal/api-ms-win-core-sysinfo-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	b203d862ddef1dd62bf623fc866c7f7a9c317c1c2ae30d1f52cb41f955b5698e
_internal/api-ms-win-core-sysinfo-l1-2-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	2703635d835396afd0f138d7c73751afe7e33a24f4225d08c1690b0a371932c0
_internal/api-ms-win-core-timezone-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	33f4fddc181066fce06b2227bded813f95e94ed1f3d785e982c6b6b56c510c57
_internal/api-ms-win-core-util-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	6eda016742a6171205a387a14b3c0b331841567740376f56768f8c151724207d
_internal/api-ms-win-crt-conio-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	b762061b688aae679afe788904d2c9970f74a7dac98f3b42463d08f25e483d3f
_internal/api-ms-win-crt-convert-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	ebb2ae5535a64f65daeab8235585114fc9dd2cf1a49f5852d446250b998b6ae4
_internal/api-ms-win-crt-environment-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	17d63275d00bdd8670422b95bd264c532998e0a1b041079e54fce4b6b7a55819
_internal/api-ms-win-crt-filesystem-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	9a9e2a65a281644e368d0f272b95ba5f6b445d1c35910d06056c5ebeb77402db
_internal/api-ms-win-crt-heap-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	bab9ac3ec83e380ae51e4295ef3bf2c738627812d3a49d1e713661abbc8dc57a
_internal/api-ms-win-crt-locale-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	bd14c67ea28e21d6257ad780a37122c9b5773f69e693f5db6bffaee4d839526e
_internal/api-ms-win-crt-math-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	606d66d82db562ea7979179d06486a0f94d079941d26b80a1e2c49d29959df6f
_internal/api-ms-win-crt-multibyte-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	95f49efbe8107786733fa7c474025cf3fee0ac632f240367b296c736d06572aa
_internal/api-ms-win-crt-private-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	1bc82bed6143d2bf1b6b08a7809f4a5e29317d6fddd338a7da3c0223522e4bbf
_internal/api-ms-win-crt-process-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	f6156b1020380ec4f0e48577ebedaaef5fb1ab1f337d8b4e72e6a33a7567a9cc
_internal/api-ms-win-crt-runtime-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	c5902934d026d7e15fbe9917d474f3322846a41a25e66f4b2b1f758801879f4b
_internal/api-ms-win-crt-stdio-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	a9c5a153d8c0286f9b41a2b1c65854ad9e6471b8755b7de87bae4470e60bcab6
_internal/api-ms-win-crt-string-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	25b8f83a7767211b11132775a0e27a45aa4ec8ab4e6572599f9c172ae3606b40
_internal/api-ms-win-crt-time-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	7c7f6393f06de11750adb09cc5698ae55cd9fb27b2e51e207286feb1b5b2b156
_internal/api-ms-win-crt-utility-l1-1-0.dll	10.0.26100.1742 (WinBuild.160101.0800) (PE FileVersion)	https://learn.microsoft.com/windows/win32/apiindex/windows-apisets	Microsoft Windows redistributable	d8ba5f17b9ffcbf3aeaf3fa1da226832d2fa90f81acce0cd669464e76ce434ac
_internal/av/_core.pyd	av 18.0.0 (METADATA)	https://github.com/PyAV-Org/PyAV	BSD-3-Clause	e3dbdcdb34ddde435d42bb7eb6973b16d284c690b586c15f5ed844d43b15e91f
_internal/av/audio/codeccontext.pyd	av 18.0.0 (METADATA)	https://github.com/PyAV-Org/PyAV	BSD-3-Clause	c0506d6d57786247dcf50c9ad0eed26a811976c4aa109dcdbaab66474f32ec53
_internal/av/audio/fifo.pyd	av 18.0.0 (METADATA)	https://github.com/PyAV-Org/PyAV	BSD-3-Clause	9698309ee4a0dcbb535b224b16ed110c4bb72f3cc5c1ed5cae4bbb739eabcfc1
_internal/av/audio/format.pyd	av 18.0.0 (METADATA)	https://github.com/PyAV-Org/PyAV	BSD-3-Clause	9aaf76c07a9a63060cd52ac65f29e04a94f23845cf95d79cdfd4690f4cc60a36
_internal/av/audio/frame.pyd	av 18.0.0 (METADATA)	https://github.com/PyAV-Org/PyAV	BSD-3-Clause	d24f37fa45598eb2715ea01b52de3ee3e4d388c7fce682ecec603f68f525672b
_internal/av/audio/layout.pyd	av 18.0.0 (METADATA)	https://github.com/PyAV-Org/PyAV	BSD-3-Clause	34c7e0e185394fd1f710a85c1fe1cc0eb2feab7fb4ccca5ac99ace3cc699d543
_internal/av/audio/plane.pyd	av 18.0.0 (METADATA)	https://github.com/PyAV-Org/PyAV	BSD-3-Clause	1b8fa88a3de0184f006bb0561626884dcca1c68932ef7502825ea300656cbc2b
_internal/av/audio/resampler.pyd	av 18.0.0 (METADATA)	https://github.com/PyAV-Org/PyAV	BSD-3-Clause	eb972fc4cbdd6af4613d1b73573c4c03441f35c1746348051812581d1bd33676
_internal/av/audio/stream.pyd	av 18.0.0 (METADATA)	https://github.com/PyAV-Org/PyAV	BSD-3-Clause	dfb41fda12e1b4c4e1f9aa33011c18dbf1edbd338d0904fde556cb412cf7fe8e
_internal/av/avcodec-63.dll	63.6.101 (PE FileVersion)	https://ffmpeg.org	LGPL-3.0-or-later	c915f673c7e6fc6d9920534f5e68a747b2818cf586caee10b64f126c92380a8c
_internal/av/avdevice-63.dll	63.2.100 (PE FileVersion)	https://ffmpeg.org	LGPL-3.0-or-later	642d000d2f37b4d2c4bd0f9f93695e8e432717f2c75ce51b1ffa642098df3227
_internal/av/avfilter-12.dll	12.3.101 (PE FileVersion)	https://ffmpeg.org	LGPL-3.0-or-later	64e490bf7012bb63a79008d182abdb6aa9181f4d2613874b7e766c5b5b91846d
_internal/av/avformat-63.dll	63.5.101 (PE FileVersion)	https://ffmpeg.org	LGPL-3.0-or-later	525667995af9ecc037f8f764b8437b86c545097616bb8f7192ea5e169cf8dc1d
_internal/av/avutil-61.dll	61.5.100 (PE FileVersion)	https://ffmpeg.org	LGPL-3.0-or-later	2d18103a64de144dd040b28fa4db5affbf6174812d4f155b92f2d1bcc12b753e
_internal/av/bitstream.pyd	av 18.0.0 (METADATA)	https://github.com/PyAV-Org/PyAV	BSD-3-Clause	6ec14dfa001642570d7289125a7d5e1755a8f2d1dd30371bcaddb65aa844bfd0
_internal/av/buffer.pyd	av 18.0.0 (METADATA)	https://github.com/PyAV-Org/PyAV	BSD-3-Clause	e22891de8d9d5246fd155ef3ec71d99cf7fe3241dcdfffc353bf3169d51ba680
_internal/av/codec/codec.pyd	av 18.0.0 (METADATA)	https://github.com/PyAV-Org/PyAV	BSD-3-Clause	3462e8cccdc68d33596cf50bb6b24839b659b9faccf19cffd1faf7345f00dae9
_internal/av/codec/context.pyd	av 18.0.0 (METADATA)	https://github.com/PyAV-Org/PyAV	BSD-3-Clause	9d21a37b4249c3a1b33e108a020c376109a1c0093f2b4261e2b31e23dd8ef8c7
_internal/av/codec/hwaccel.pyd	av 18.0.0 (METADATA)	https://github.com/PyAV-Org/PyAV	BSD-3-Clause	516e823e4570374c949d287bc3f8b846f810895045f3e93c187d3fbf28750ebb
